accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,image_count
1811789,Lepidoptera,Erebidae,Spilosoma,Spilosoma lutea,Spilosoma lutea,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1812394,Lepidoptera,Erebidae,Spilosoma,Spilosoma urticae,Spilosoma urticae,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1765751,Lepidoptera,Noctuidae,Tathorhynchus,Tathorhynchus exsiccata,Tathorhynchus exsiccata,99,ACCEPTED,EXACT,SPECIES,london31May2023,335.0
1807206,Lepidoptera,Erebidae,Thumatha,Thumatha senex,Thumatha senex,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1798346,Lepidoptera,Erebidae,Trisateles,Trisateles emortualis,Trisateles emortualis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5115777,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,Tyria jacobaeae,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1803218,Lepidoptera,Erebidae,Utetheisa,Utetheisa bella,Utetheisa ornatrix,99,SYNONYM,EXACT,SPECIES,london31May2023,0.0
1803163,Lepidoptera,Erebidae,Utetheisa,Utetheisa pulchella,Utetheisa pulchella,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532508,Lepidoptera,Erebidae,Zanclognatha,Zanclognatha lunalis,Zanclognatha lunalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532510,Lepidoptera,Erebidae,Zanclognatha,Zanclognatha zelleralis,Zanclognatha zelleralis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1967803,Lepidoptera,Geometridae,Abraxas,Abraxas pantaria,Abraxas pantaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,77.0
1973327,Lepidoptera,Geometridae,Adactylotis,Adactylotis contaminaria,Adactylotis contaminaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,58.0
5143477,Lepidoptera,Geometridae,Alcis,Alcis jubata,Alcis jubata,99,ACCEPTED,EXACT,SPECIES,london31May2023,680.0
4524403,Lepidoptera,Geometridae,Aleucis,Aleucis distinctata,Aleucis distinctata,99,ACCEPTED,EXACT,SPECIES,london31May2023,772.0
1975571,Lepidoptera,Geometridae,Anticollix,Anticollix sparsata,Anticollix sparsata,99,ACCEPTED,EXACT,SPECIES,london31May2023,956.0
5149474,Lepidoptera,Geometridae,Aplasta,Aplasta ononaria,Aplasta ononaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,375.0
1984949,Lepidoptera,Geometridae,Aplocera,Aplocera praeformata,Aplocera praeformata,99,ACCEPTED,EXACT,SPECIES,london31May2023,665.0
8329661,Lepidoptera,Geometridae,Archiearis,Archiearis notha,Archiearis notha,99,ACCEPTED,EXACT,SPECIES,london31May2023,944.0
1967273,Lepidoptera,Geometridae,Aspitates,Aspitates gilvaria,Aspitates gilvaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,235.0
1978977,Lepidoptera,Geometridae,Carsia,Carsia sororiata,Carsia sororiata,98,ACCEPTED,EXACT,SPECIES,london31May2023,651.0
1964191,Lepidoptera,Geometridae,Catarhoe,Catarhoe rubidata,Catarhoe rubidata,99,ACCEPTED,EXACT,SPECIES,london31May2023,873.0
4524951,Lepidoptera,Geometridae,Charissa,Charissa obscurata,Charissa obscurata,99,ACCEPTED,EXACT,SPECIES,london31May2023,183.0
1962990,Lepidoptera,Geometridae,Chesias,Chesias legatella,Chesias legatella,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1962972,Lepidoptera,Geometridae,Chesias,Chesias rufata,Chesias rufata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
9220953,Lepidoptera,Geometridae,Chiasmia,Chiasmia aestimaria,Chiasmia aestimaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4525078,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata,Chiasmia clathrata,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1961037,Lepidoptera,Geometridae,Chlorissa,Chlorissa cloraria,Chlorissa cloraria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
