accepted_taxon_key,family_name,genus_name,search_species_name,gbif_species_name,image_count
1984954,Geometridae,Aplocera,Aplocera efformata,Aplocera efformata,1000
1984942,Geometridae,Aplocera,Aplocera plagiata,Aplocera plagiata,1000
1984949,Geometridae,Aplocera,Aplocera praeformata,Aplocera praeformata,665
1961068,Geometridae,Apocheima,Apocheima hispidaria,Apocheima hispidaria,1000
8329661,Geometridae,Archiearis,Archiearis notha,Archiearis notha,944
1975733,Geometridae,Archiearis,Archiearis parthenias,Archiearis parthenias,1000
1967273,Geometridae,Aspitates,Aspitates gilvaria,Aspitates gilvaria,235
1967265,Geometridae,Aspitates,Aspitates ochrearia,Aspitates ochrearia,1000
1987744,Geometridae,Asthena,Asthena albulata,Asthena albulata,1000
1975897,Geometridae,Biston,Biston betularia,Biston betularia,1000
1975903,Geometridae,Biston,Biston strataria,Biston strataria,1000
1973414,Geometridae,Bupalus,Bupalus piniaria,Bupalus piniaria,1000
5143675,Geometridae,Cabera,Cabera exanthemata,Cabera exanthemata,1000
5143697,Geometridae,Cabera,Cabera pusaria,Cabera pusaria,1000
1978776,Geometridae,Campaea,Campaea margaritaria,Campaea margaritaria,1000
4524376,Geometridae,Camptogramma,Camptogramma bilineata,Camptogramma bilineata,1000
1978977,Geometridae,Carsia,Carsia sororiata,Carsia sororiata,651
1964195,Geometridae,Catarhoe,Catarhoe cuculata,Catarhoe cuculata,1000
1964191,Geometridae,Catarhoe,Catarhoe rubidata,Catarhoe rubidata,873
1967245,Geometridae,Cepphis,Cepphis advenaria,Cepphis advenaria,1000
4524951,Geometridae,Charissa,Charissa obscurata,Charissa obscurata,1000
1962990,Geometridae,Chesias,Chesias legatella,Chesias legatella,1000
1962972,Geometridae,Chesias,Chesias rufata,Chesias rufata,124
9220953,Geometridae,Chiasmia,Chiasmia aestimaria,Chiasmia aestimaria,200
4525078,Geometridae,Chiasmia,Chiasmia clathrata,Chiasmia clathrata,1000
1961037,Geometridae,Chlorissa,Chlorissa cloraria,Chlorissa cloraria,92
1961040,Geometridae,Chlorissa,Chlorissa viridata,Chlorissa viridata,1000
5806132,Geometridae,Chlorochlamys,Chlorochlamys chloroleucaria,Chlorochlamys chloroleucaria,1000
1963463,Geometridae,Chloroclysta,Chloroclysta miata,Chloroclysta miata,1000
1963446,Geometridae,Chloroclysta,Chloroclysta siterata,Chloroclysta siterata,1000
1989428,Geometridae,Chloroclystis,Chloroclystis v-ata,Chloroclystis v-ata,1001
5768880,Geometridae,Cidaria,Cidaria fulvata,Cidaria fulvata,1000
5769028,Geometridae,Cleora,Cleora cinctaria,Cleora cinctaria,1000
1985522,Geometridae,Cleorodes,Cleorodes lichenaria,Cleorodes lichenaria,1000
1988504,Geometridae,Coenocalpe,Coenocalpe lapidata,Coenocalpe lapidata,398
9414984,Geometridae,Nebula,Coenotephria salicata,Nebula salicata,553
1988602,Geometridae,Colostygia,Colostygia multistrigaria,Colostygia multistrigaria,1000
1988684,Geometridae,Colostygia,Colostygia olivata,Colostygia olivata,866
1988593,Geometridae,Colostygia,Colostygia pectinataria,Colostygia pectinataria,1000
1968867,Geometridae,Colotois,Colotois pennaria,Colotois pennaria,1000
4523522,Geometridae,Comibaena,Comibaena bajularia,Comibaena bajularia,1000
1970213,Geometridae,Cosmorhoe,Cosmorhoe ocellata,Cosmorhoe ocellata,1000
4524223,Geometridae,Costaconvexa,Costaconvexa centrostrigaria,Costaconvexa centrostrigaria,1000
4524221,Geometridae,Costaconvexa,Costaconvexa polygrammata,Costaconvexa polygrammata,644
1990533,Geometridae,Crocallis,Crocallis dardoinaria,Crocallis dardoinaria,47
1990551,Geometridae,Crocallis,Crocallis elinguaria,Crocallis elinguaria,1000
5149746,Geometridae,Cyclophora,Cyclophora albipunctata,Cyclophora albipunctata,1000
5149768,Geometridae,Cyclophora,Cyclophora annularia,Cyclophora annularia,1000
7443518,Geometridae,Cyclophora,Cyclophora linearia,Cyclophora linearia,1000
5149704,Geometridae,Cyclophora,Cyclophora pendularia,Cyclophora pendularia,851
5149659,Geometridae,Cyclophora,Cyclophora porata,Cyclophora porata,794
5149665,Geometridae,Cyclophora,Cyclophora punctaria,Cyclophora punctaria,1000
5149787,Geometridae,Cyclophora,Cyclophora puppillaria,Cyclophora puppillaria,1000
5149784,Geometridae,Cyclophora,Cyclophora ruficiliaria,Cyclophora ruficiliaria,129
1978821,Geometridae,Deileptenia,Deileptenia ribeata,Deileptenia ribeata,1000
1959467,Geometridae,Dyscia,Dyscia fagaria,Dyscia fagaria,747
1962516,Geometridae,Dysstroma,Dysstroma citrata,Dysstroma citrata,1000
1962434,Geometridae,Dysstroma,Dysstroma truncata,Dysstroma truncata,1000
8160782,Geometridae,Anticlea,Earophila badiata,Anticlea badiata,1000
1978445,Geometridae,Ecliptopera,Ecliptopera silaceata,Ecliptopera silaceata,422
-1,NotAvail,NotAvail,Macaria notata,NotAvail,-1
1973467,Pterophoridae,Pterophorus,Petrophora chlorosata,Petrophora chlorosata,1000
-1,NotAvail,NotAvail,Xanthorhoe ferrugata,NotAvail,-1
1828637,Hepialidae,Hepialus,Hepialus humuli,Hepialus humuli,1000
7448174,Hepialidae,Korscheltellus,Korscheltellus fusconebulosa,Korscheltellus fusconebulosus,1000
5879654,Hepialidae,Korscheltellus,Korscheltellus lupulina,Korscheltellus lupulina,1000
4525610,Hepialidae,Phymatopus,Phymatopus hecta,Phymatopus hecta,1000
6097236,Hepialidae,Triodia,Triodia sylvina,Triodia sylvina,1000
1733484,Lasiocampidae,Dendrolimus,Dendrolimus pini,Dendrolimus pini,1000
4525266,Lasiocampidae,Eriogaster,Eriogaster lanestris,Eriogaster lanestris,1000
1734453,Lasiocampidae,Euthrix,Euthrix potatoria,Euthrix potatoria,1000
1732565,Lasiocampidae,Gastropacha,Gastropacha quercifolia,Gastropacha quercifolia,1000
1734826,Lasiocampidae,Lasiocampa,Lasiocampa quercus,Lasiocampa quercus,1000
1734704,Lasiocampidae,Lasiocampa,Lasiocampa trifolii,Lasiocampa trifolii,1000
1732416,Lasiocampidae,Macrothylacia,Macrothylacia rubi,Macrothylacia rubi,1000
5101678,Lasiocampidae,Malacosoma,Malacosoma castrensis,Malacosoma castrensis,1000
5101745,Lasiocampidae,Malacosoma,Malacosoma neustria,Malacosoma neustria,1000
5102287,Lasiocampidae,Odonestis,Odonestis pruni,Odonestis pruni,461
1732662,Lasiocampidae,Phyllodesma,Phyllodesma ilicifolia,Phyllodesma ilicifolia,697
1732063,Lasiocampidae,Poecilocampa,Poecilocampa populi,Poecilocampa populi,1000
1732452,Lasiocampidae,Trichiura,Trichiura crataegi,Trichiura crataegi,1000
5105339,Limacodidae,Apoda,Apoda limacodes,Apoda limacodes,1000
4522322,Limacodidae,Heterogenea,Heterogenea asella,Heterogenea asella,385
1767625,Noctuidae,Abrostola,Abrostola tripartita,Abrostola tripartita,1000
1767597,Noctuidae,Abrostola,Abrostola triplasia,Abrostola triplasia,1000
5109299,Noctuidae,Acontia,Acontia aprica,Acontia aprica,1000
1763072,Noctuidae,Acontia,Acontia lucida,Acontia lucida,1000
5109455,Noctuidae,Acontia,Acontia nitidula,Acontia nitidula,5
5772063,Noctuidae,Acontia,Acontia trabealis,Acontia trabealis,1000
8150836,Noctuidae,Acosmetia,Acosmetia caliginosa,Acosmetia caliginosa,314
1782763,Noctuidae,Acronicta,Acronicta aceris,Acronicta aceris,1000
1782726,Noctuidae,Acronicta,Acronicta alni,Acronicta alni,1000
1782927,Noctuidae,Acronicta,Acronicta auricoma,Acronicta auricoma,1000
1783045,Noctuidae,Acronicta,Acronicta cinerea,Acronicta cinerea,1000
7825213,Noctuidae,Acronicta,Acronicta cuspis,Acronicta cuspis,661
1783043,Noctuidae,Acronicta,Acronicta leporina,Acronicta leporina,1000
1783037,Noctuidae,Acronicta,Acronicta menyanthidis,Acronicta menyanthidis,1000
1782948,Noctuidae,Acronicta,Acronicta psi,Acronicta psi,1000
1782672,Noctuidae,Acronicta,Acronicta rumicis,Acronicta rumicis,1000
1782841,Noctuidae,Acronicta,Acronicta strigosa,Acronicta strigosa,703
1783016,Noctuidae,Acronicta,Acronicta tridens,Acronicta tridens,1000
1787506,Noctuidae,Actebia,Actebia fennica,Actebia fennica,461
1787504,Noctuidae,Actebia,Actebia praecox,Actebia praecox,551
1792292,Noctuidae,Actinotia,Actinotia polyodon,Actinotia polyodon,1000
5113847,Noctuidae,Aedia,Aedia funesta,Aedia funesta,414
5113853,Noctuidae,Aedia,Aedia leucomelas,Aedia leucomelas,909
4533115,Noctuidae,Agrochola,Agrochola lychnidis,Agrochola lychnidis,1000
4533714,Noctuidae,Agrotis,Agrotis bigramma,Agrotis bigramma,515
4533720,Noctuidae,Agrotis,Agrotis catalaunensis,Agrotis catalaunensis,29
1770869,Noctuidae,Agrotis,Agrotis cinerea,Agrotis cinerea,545
7940536,Noctuidae,Agrotis,Agrotis clavis,Agrotis clavis,1000
1770920,Noctuidae,Agrotis,Agrotis deprivata,Agrotis deprivata,1
1771214,Noctuidae,Agrotis,Agrotis exclamationis,Agrotis exclamationis,1000
1770776,Noctuidae,Agrotis,Agrotis graslini,Agrotis graslini,6
1771163,Noctuidae,Agrotis,Agrotis herzogi,Agrotis herzogi,31
1771245,Noctuidae,Agrotis,Agrotis ipsilon,Agrotis ipsilon,1000
1770772,Noctuidae,Agrotis,Agrotis puta,Agrotis puta,1000
1771204,Noctuidae,Agrotis,Agrotis ripae,Agrotis ripae,319
1771040,Noctuidae,Agrotis,Agrotis segetum,Agrotis segetum,1000
-1,NotAvail,NotAvail,Agrotis spinifera,NotAvail,-1
1770821,Noctuidae,Agrotis,Agrotis trux,Agrotis trux,980
1770880,Noctuidae,Agrotis,Agrotis vestigialis,Agrotis vestigialis,1000
4534719,Noctuidae,Allophyes,Allophyes oxyacanthae,Allophyes oxyacanthae,1000
1771391,Noctuidae,Amphipoea,Amphipoea crinanensis,Amphipoea crinanensis,259
7725644,Noctuidae,Amphipoea,Amphipoea fucosa,Amphipoea fucosa,1000
1771429,Noctuidae,Amphipoea,Amphipoea lucens,Amphipoea lucens,351
1771385,Noctuidae,Amphipoea,Amphipoea oculea,Amphipoea oculea,1000
1766128,Noctuidae,Amphipyra,Amphipyra berbera,Amphipyra berbera,1000
4534691,Noctuidae,Amphipyra,Amphipyra effusa,Amphipyra effusa,64
1766137,Noctuidae,Amphipyra,Amphipyra pyramidea,Amphipyra pyramidea,1000
1766210,Noctuidae,Amphipyra,Amphipyra tragopoginis,Amphipyra tragopoginis,1000
1766646,Noctuidae,Anaplectoides,Anaplectoides prasina,Anaplectoides prasina,1000
1789553,Noctuidae,Anarta,Anarta melanopa,Anarta melanopa,689
1789580,Noctuidae,Anarta,Anarta myrtilli,Anarta myrtilli,1000
4534166,Noctuidae,Anarta,Anarta trifolii,Anarta trifolii,1000
10263995,Noctuidae,Agrochola,Anchoscelis haematidea,Anchoscelis haematidea,0
10113008,Noctuidae,Agrochola,Anchoscelis helvola,Anchoscelis helvola,1000
1789982,Noctuidae,Agrochola,Anchoscelis litura,Agrochola litura,1000
9510363,Noctuidae,Agrochola,Anchoscelis lunosa,Anchoscelis lunosa,898
6544687,Noctuidae,Anorthoa,Anorthoa munda,Anorthoa munda,1000
1786902,Noctuidae,Antitype,Antitype chi,Antitype chi,1000
8007222,Noctuidae,Apamea,Apamea anceps,Apamea anceps,1000
1796169,Noctuidae,Apamea,Apamea crenata,Apamea crenata,1000
1796139,Noctuidae,Apamea,Apamea epomidion,Apamea epomidion,740
1795848,Noctuidae,Apamea,Apamea exulis,Apamea exulis,347
1795930,Noctuidae,Apamea,Apamea furva,Apamea furva,704
1795854,Noctuidae,Apamea,Apamea lateritia,Apamea lateritia,1000
4534486,Noctuidae,Apamea,Apamea lithoxylaea,Apamea lithoxylaea,1000
1796145,Noctuidae,Apamea,Apamea monoglypha,Apamea monoglypha,1000
1796183,Noctuidae,Apamea,Apamea oblonga,Apamea oblonga,1000
7438067,Noctuidae,Apamea,Apamea remissa,Apamea remissa,1000
11478679,Noctuidae,Loscopia,Apamea scolopacina,Loscopia scolopacina,1000
1796117,Noctuidae,Apamea,Apamea sordens,Apamea sordens,1000
1795946,Noctuidae,Apamea,Apamea sublustris,Apamea sublustris,1000
1796188,Noctuidae,Apamea,Apamea unanimis,Apamea unanimis,1000
1760857,Noctuidae,Aporophyla,Aporophyla australis,Aporophyla australis,352
1760887,Noctuidae,Aporophyla,Aporophyla lueneburgensis,Aporophyla lueneburgensis,835
1760893,Noctuidae,Aporophyla,Aporophyla lutulenta,Aporophyla lutulenta,814
1760891,Noctuidae,Aporophyla,Aporophyla nigra,Aporophyla nigra,1000
4533202,Noctuidae,Apterogenum,Apterogenum ypsillon,Apterogenum ypsillon,1000
1789849,Noctuidae,Archanara,Archanara dissoluta,Archanara dissoluta,1000
1789840,Noctuidae,Archanara,Archanara neurica,Archanara neurica,289
7780930,Noctuidae,Arenostola,Arenostola phragmitidis,Arenostola phragmitidis,1000
1766274,Noctuidae,Asteroscopus,Asteroscopus sphinx,Asteroscopus sphinx,1000
1759153,Noctuidae,Atethmia,Atethmia centrago,Atethmia centrago,1000
1787279,Noctuidae,Athetis,Athetis hospes,Athetis hospes,627
1787112,Noctuidae,Athetis,Athetis pallustris,Athetis pallustris,276
1792478,Noctuidae,Autographa,Autographa bimaculata,Autographa bimaculata,179
1792414,Noctuidae,Autographa,Autographa bractea,Autographa bractea,1000
1792418,Noctuidae,Autographa,Autographa gamma,Autographa gamma,1000
1792426,Noctuidae,Autographa,Autographa jota,Autographa jota,1000
1792411,Noctuidae,Autographa,Autographa pulchrina,Autographa pulchrina,1000
1761438,Noctuidae,Axylia,Axylia putris,Axylia putris,1000
1779435,Noctuidae,Brachionycha,Brachionycha nubeculosa,Brachionycha nubeculosa,1000
1779690,Noctuidae,Brachylomia,Brachylomia viminalis,Brachylomia viminalis,1000
1789957,Noctuidae,Brithys,Brithys crini,Brithys crini,680
7981386,Noctuidae,Bryophila,Bryophila domestica,Bryophila domestica,1000
8742426,Noctuidae,Bryophila,Bryophila raptricula,Bryophila raptricula,725
4532811,Noctuidae,Nyctobrya,Bryopsis muralis,Nyctobrya muralis,1000
5110200,Noctuidae,Calamia,Calamia tridens,Calamia tridens,1000
5108665,Noctuidae,Callopistria,Callopistria floridensis,Callopistria floridensis,909
5108761,Noctuidae,Callopistria,Callopistria juventina,Callopistria juventina,607
5108660,Noctuidae,Callopistria,Callopistria latreillei,Callopistria latreillei,207
1796463,Noctuidae,Calophasia,Calophasia lunula,Calophasia lunula,1000
1796451,Noctuidae,Calophasia,Calophasia platyptera,Calophasia platyptera,39
4534245,Noctuidae,Caradrina,Caradrina clavipalpis,Caradrina clavipalpis,1000
4534252,Noctuidae,Caradrina,Caradrina flavirena,Caradrina flavirena,142
1765017,Noctuidae,Caradrina,Caradrina kadenii,Caradrina kadenii,808
