accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1795848,Lepidoptera,Noctuidae,Apamea,Apamea exulis,Apamea exulis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1795930,Lepidoptera,Noctuidae,Apamea,Apamea furva,Apamea furva,99,ACCEPTED,EXACT,SPECIES,london31May2023
8007222,Lepidoptera,Noctuidae,Apamea,Apamea infesta,Apamea anceps,99,SYNONYM,EXACT,SPECIES,london31May2023
1795854,Lepidoptera,Noctuidae,Apamea,Apamea lateritia,Apamea lateritia,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534486,Lepidoptera,Noctuidae,Apamea,Apamea lithoxylaea,Apamea lithoxylaea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796145,Lepidoptera,Noctuidae,Apamea,Apamea monoglypha,Apamea monoglypha,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796183,Lepidoptera,Noctuidae,Apamea,Apamea oblonga,Apamea oblonga,99,ACCEPTED,EXACT,SPECIES,london31May2023
7438067,Lepidoptera,Noctuidae,Apamea,Apamea remissa,Apamea remissa,99,ACCEPTED,EXACT,SPECIES,london31May2023
11478679,Lepidoptera,Noctuidae,Loscopia,Apamea scolopacina,Loscopia scolopacina,99,SYNONYM,EXACT,SPECIES,london31May2023
1796117,Lepidoptera,Noctuidae,Apamea,Apamea sordens,Apamea sordens,99,ACCEPTED,EXACT,SPECIES,london31May2023
1795946,Lepidoptera,Noctuidae,Apamea,Apamea sublustris,Apamea sublustris,98,ACCEPTED,EXACT,SPECIES,london31May2023
1796188,Lepidoptera,Noctuidae,Apamea,Apamea unanimis,Apamea unanimis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1760857,Lepidoptera,Noctuidae,Aporophyla,Aporophyla australis,Aporophyla australis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1760887,Lepidoptera,Noctuidae,Aporophyla,Aporophyla lueneburgensis,Aporophyla lueneburgensis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1760893,Lepidoptera,Noctuidae,Aporophyla,Aporophyla lutulenta,Aporophyla lutulenta,99,ACCEPTED,EXACT,SPECIES,london31May2023
1760891,Lepidoptera,Noctuidae,Aporophyla,Aporophyla nigra,Aporophyla nigra,99,ACCEPTED,EXACT,SPECIES,london31May2023
4533202,Lepidoptera,Noctuidae,Apterogenum,Apterogenum ypsillon,Apterogenum ypsillon,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789849,Lepidoptera,Noctuidae,Archanara,Archanara dissoluta,Archanara dissoluta,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789840,Lepidoptera,Noctuidae,Archanara,Archanara neurica,Archanara neurica,99,ACCEPTED,EXACT,SPECIES,london31May2023
7780930,Lepidoptera,Noctuidae,Arenostola,Arenostola phragmitidis,Arenostola phragmitidis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1766274,Lepidoptera,Noctuidae,Asteroscopus,Asteroscopus sphinx,Asteroscopus sphinx,99,ACCEPTED,EXACT,SPECIES,london31May2023
1759153,Lepidoptera,Noctuidae,Atethmia,Atethmia centrago,Atethmia centrago,99,ACCEPTED,EXACT,SPECIES,london31May2023
1787279,Lepidoptera,Noctuidae,Athetis,Athetis hospes,Athetis hospes,99,ACCEPTED,EXACT,SPECIES,london31May2023
1787112,Lepidoptera,Noctuidae,Athetis,Athetis pallustris,Athetis pallustris,99,ACCEPTED,EXACT,SPECIES,london31May2023
1792478,Lepidoptera,Noctuidae,Autographa,Autographa bimaculata,Autographa bimaculata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1792414,Lepidoptera,Noctuidae,Autographa,Autographa bractea,Autographa bractea,98,ACCEPTED,EXACT,SPECIES,london31May2023
1792418,Lepidoptera,Noctuidae,Autographa,Autographa gamma,Autographa gamma,98,ACCEPTED,EXACT,SPECIES,london31May2023
1792426,Lepidoptera,Noctuidae,Autographa,Autographa jota,Autographa jota,99,ACCEPTED,EXACT,SPECIES,london31May2023
1792411,Lepidoptera,Noctuidae,Autographa,Autographa pulchrina,Autographa pulchrina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1761438,Lepidoptera,Noctuidae,Axylia,Axylia putris,Axylia putris,99,ACCEPTED,EXACT,SPECIES,london31May2023
1779435,Lepidoptera,Noctuidae,Brachionycha,Brachionycha nubeculosa,Brachionycha nubeculosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1779690,Lepidoptera,Noctuidae,Brachylomia,Brachylomia viminalis,Brachylomia viminalis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789957,Lepidoptera,Noctuidae,Brithys,Brithys crini,Brithys crini,99,ACCEPTED,EXACT,SPECIES,london31May2023
7981386,Lepidoptera,Noctuidae,Bryophila,Bryophila domestica,Bryophila domestica,99,ACCEPTED,EXACT,SPECIES,london31May2023
8742426,Lepidoptera,Noctuidae,Bryophila,Bryophila raptricula,Bryophila raptricula,98,ACCEPTED,EXACT,SPECIES,london31May2023
4532811,Lepidoptera,Noctuidae,Nyctobrya,Bryopsis muralis,Nyctobrya muralis,99,SYNONYM,EXACT,SPECIES,london31May2023
5110200,Lepidoptera,Noctuidae,Calamia,Calamia tridens,Calamia tridens,99,ACCEPTED,EXACT,SPECIES,london31May2023
5108665,Lepidoptera,Noctuidae,Callopistria,Callopistria floridensis,Callopistria floridensis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5108761,Lepidoptera,Noctuidae,Callopistria,Callopistria juventina,Callopistria juventina,99,ACCEPTED,EXACT,SPECIES,london31May2023
5108660,Lepidoptera,Noctuidae,Callopistria,Callopistria latreillei,Callopistria latreillei,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796463,Lepidoptera,Noctuidae,Calophasia,Calophasia lunula,Calophasia lunula,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796451,Lepidoptera,Noctuidae,Calophasia,Calophasia platyptera,Calophasia platyptera,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534245,Lepidoptera,Noctuidae,Caradrina,Caradrina clavipalpis,Caradrina clavipalpis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534252,Lepidoptera,Noctuidae,Caradrina,Caradrina flavirena,Caradrina flavirena,98,ACCEPTED,EXACT,SPECIES,london31May2023
1765017,Lepidoptera,Noctuidae,Caradrina,Caradrina kadenii,Caradrina kadenii,98,ACCEPTED,EXACT,SPECIES,london31May2023
1765011,Lepidoptera,Noctuidae,Caradrina,Caradrina morpheus,Caradrina morpheus,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534257,Lepidoptera,Noctuidae,Caradrina,Caradrina selini,Caradrina selini,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534463,Lepidoptera,Noctuidae,Celaena,Celaena haworthii,Celaena haworthii,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534207,Lepidoptera,Noctuidae,Ceramica,Ceramica pisi,Ceramica pisi,99,ACCEPTED,EXACT,SPECIES,london31May2023
1763610,Lepidoptera,Noctuidae,Cerapteryx,Cerapteryx graminis,Cerapteryx graminis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5110871,Lepidoptera,Noctuidae,Cerastis,Cerastis leucographa,Cerastis leucographa,99,ACCEPTED,EXACT,SPECIES,london31May2023
5110885,Lepidoptera,Noctuidae,Cerastis,Cerastis rubricosa,Cerastis rubricosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1800140,Lepidoptera,Noctuidae,Charadra,Charadra deridens,Charadra deridens,99,ACCEPTED,EXACT,SPECIES,london31May2023
1778074,Lepidoptera,Noctuidae,Charanyca,Charanyca trigrammica,Charanyca trigrammica,99,ACCEPTED,EXACT,SPECIES,london31May2023
1778596,Lepidoptera,Noctuidae,Chilodes,Chilodes maritima,Chilodes maritima,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772309,Lepidoptera,Noctuidae,Chloantha,Chloantha hyperici,Chloantha hyperici,99,ACCEPTED,EXACT,SPECIES,london31May2023
1785181,Lepidoptera,Noctuidae,Chrysodeixis,Chrysodeixis acuta,Chrysodeixis acuta,99,ACCEPTED,EXACT,SPECIES,london31May2023
1785185,Lepidoptera,Noctuidae,Chrysodeixis,Chrysodeixis chalcites,Chrysodeixis chalcites,99,ACCEPTED,EXACT,SPECIES,london31May2023
1771634,Lepidoptera,Noctuidae,Xanthia,Cirrhia gilvago,Xanthia gilvago,99,SYNONYM,EXACT,SPECIES,london31May2023
