"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Erebidae","Lymantria monacha","(Linnaeus, 1758)","Black Arches","NBNSYS0000006119","NBNSYS0000006119","NBNORG0000009298"
"Erebidae","Macrochilo cribrumalis","(Hübner, 1793)","Dotted Fan-foot","NHMSYS0000503145","NHMSYS0000503145","NBNORG0000058454"
"Erebidae","Miltochrista miniata","(Forster, 1771)","Rosy Footman","NBNSYS0000006123","NBNSYS0000006123","NBNORG0000009301"
"Erebidae","Minucia lunaris","([Denis & Schiffermüller], 1775)","Lunar Double-stripe","NHMSYS0021144457","NHMSYS0021144457","NBNORG0000058495"
"Erebidae","Nudaria mundana","(Linnaeus, 1761)","Muslin Footman","NBNSYS0000006124","NBNSYS0000006124","NBNORG0000009302"
"Erebidae","Ophiusa tirhaca","(Cramer, 1773)","Green Drab","NHMSYS0021460058","NHMSYS0021460058","NBNORG0000133151"
"Erebidae","Orgyia antiqua","(Linnaeus, 1758)","Vapourer","NBNSYS0000006112","NBNSYS0000006112","NBNORG0000009292"
"Erebidae","Orgyia recens","(Hübner, [1819])","Scarce Vapourer","NHMSYS0021144385","NHMSYS0021144385","NBNORG0000058635"
"Erebidae","Pandesma robusta","(Walker, 1858)",NULL,"NHMSYS0020531225","NHMSYS0020531225","NBNORG0000097765"
"Erebidae","Paracolax tristalis","(Fabricius, 1794)","Clay Fan-foot","NBNSYS0000006598","NBNSYS0000006598","NBNORG0000009585"
"Erebidae","Parascotia fuliginaria","(Linnaeus, 1761)","Waved Black","NBNSYS0000006579","NBNSYS0000006579","NBNORG0000009576"
"Erebidae","Parasemia plantaginis","(Linnaeus, 1758)","Wood Tiger","NBNSYS0000006142","NBNSYS0000006142","NBNORG0000009315"
"Erebidae","Pechipogo plumigeralis","(Hübner, [1825])","Plumed Fan-foot","NHMSYS0021144430","NHMSYS0021144430","NBNORG0000042799"
"Erebidae","Pechipogo strigilata","(Linnaeus, 1758)","Common Fan-foot","NHMSYS0000503655","NHMSYS0000503655","NBNORG0000058713"
"Erebidae","Pelosia muscerda","(Hufnagel, 1766)","Dotted Footman","NBNSYS0000006127","NBNSYS0000006127","NBNORG0000009305"
"Erebidae","Pelosia obtusa","(Herrich-Schäffer, 1851)","Small Dotted Footman","NHMSYS0021144412","NHMSYS0021144412","NBNORG0000058717"
"Erebidae","Phragmatobia fuliginosa","(Linnaeus, 1758)","Ruby Tiger","NBNSYS0000006150","NBNSYS0000006150","NBNORG0000009322"
"Erebidae","Phytometra viridaria","(Clerck, 1759)","Small Purple-barred","NBNSYS0000006574","NBNSYS0000006574","NBNORG0000009574"
"Erebidae","Pyrrharctia isabella","(Smith, 1797)","Isabelline Tiger","NBNSYS0000006151","NBNSYS0000006151","NBNORG0000009323"
"Erebidae","Rivula sericealis","(Scopoli, 1763)","Straw Dot","NBNSYS0000006578","NBNSYS0000006578","NBNORG0000009575"
"Erebidae","Schrankia costaestrigalis","(Stephens, 1834)","Pinion-streaked Snout","NBNSYS0000006586","NBNSYS0000006586","NBNORG0000009581"
"Erebidae","Schrankia intermedialis","Reid, 1972","Autumnal Snout","NBNSYS0000006588","NBNSYS0000006588","NBNORG0000009582"
"Erebidae","Schrankia taenialis","(Hübner, [1809])","White-line Snout","NHMSYS0021144432","NHMSYS0021144432","NBNORG0000058931"
"Erebidae","Scoliopteryx libatrix","(Linnaeus, 1758)","Herald","NBNSYS0000006573","NBNSYS0000006573","NBNORG0000009573"
"Erebidae","Setina irrorella","(Linnaeus, 1758)","Dew Footman","NBNSYS0000006122","NBNSYS0000006122","NBNORG0000009300"
"Erebidae","Spilosoma lubricipeda","(Linnaeus, 1758)","White Ermine","NBNSYS0000006146","NBNSYS0000006146","NBNORG0000009318"
"Erebidae","Spilosoma lutea","(Hufnagel, 1766)","Buff Ermine","NHMSYS0021144388","NHMSYS0021144388","NBNORG0000009319"
"Erebidae","Spilosoma urticae","(Esper, 1789)","Water Ermine","NBNSYS0000006148","NBNSYS0000006148","NBNORG0000009320"
"Erebidae","Tathorhynchus exsiccata","(Lederer, 1855)","Levant Blackneck","NBNSYS0000006391","NBNSYS0000006391","NBNORG0000009464"
"Erebidae","Thumatha senex","(Hübner, [1808])","Round-winged Muslin","NHMSYS0021144411","NHMSYS0021144411","NBNORG0000059138"
"Erebidae","Trisateles emortualis","([Denis & Schiffermüller], 1775)","Olive Crescent","NHMSYS0021144441","NHMSYS0021144441","NBNORG0000059179"
"Erebidae","Tyria jacobaeae","(Linnaeus, 1758)","Cinnabar","NBNSYS0000006155","NBNSYS0000006155","NBNORG0000009327"
"Erebidae","Utetheisa bella","(Linnaeus, 1758)","Beautiful Utetheisa","NBNSYS0000006141","NHMSYS0021460173","NBNORG0000009314"
"Erebidae","Utetheisa ornatrix","(Linnaeus, 1758)","Beautiful Utetheisa","NHMSYS0021460173","NHMSYS0021460173","NBNORG0000009314"
"Erebidae","Utetheisa pulchella","(Linnaeus, 1758)","Crimson Speckled","NBNSYS0000006140","NBNSYS0000006140","NBNORG0000009313"
"Erebidae","Zanclognatha lunalis","(Scopoli, 1763)","Jubilee Fan-foot","NBNSYS0100006031","NBNSYS0100006031","NBNORG0000043612"
"Erebidae","Zanclognatha zelleralis","(Wocke, 1850)","Dusky Fan-foot","NBNSYS0100006033","NBNSYS0100006033","NBNORG0000043614"
"Geometridae","Abraxas grossulariata","(Linnaeus, 1758)","Magpie Moth","NBNSYS0000005975","NBNSYS0000005975","NBNORG0000009210"
"Geometridae","Abraxas pantaria","(Linnaeus, 1767)","Light Magpie","NBNSYS0000005977","NBNSYS0000005977","NBNORG0000009212"
"Geometridae","Abraxas sylvata","(Scopoli, 1763)","Clouded Magpie","NBNSYS0000005976","NBNSYS0000005976","NBNORG0000009211"
"Geometridae","Acasis viretata","(Hübner, [1799])","Yellow-barred Brindle","NHMSYS0021144153","NHMSYS0021144153","NBNORG0000057239"
"Geometridae","Adactylotis contaminaria","Hübner, 1813",NULL,"NHMSYS0020978896","NHMSYS0020978896","NBNORG0000108463"
